//fileLoc: inputData/dem20x20.png
//fluxMulti: 3.0 channelCutOff: 20
# 602

p 502 141 53.426258
p 503 140 55.32833
p 504 139 57.36573
p 505 138 59.157505
p 506 137 59.157505
p 506 136 60.429497
p 507 135 63.1405
p 508 134 66.34364
p 509 133 67.15744
p 509 132 68.07317
p 510 131 70.11568
p 511 130 72.0487
p 512 129 73.24418
p 512 128 74.01628
p 512 127 76.08381
p 513 126 78.151505
p 512 125 80.10726
p 512 124 81.21201
p 512 123 83.20241
p 513 122 84.046455
p 513 121 84.209885
p 513 120 86.027176
p 513 119 89.01937
p 513 118 91.16919
p 514 117 92.36652
p 514 116 94.05885
p 515 115 96.422745
p 515 114 98.304016
p 516 113 100.37923
p 517 112 103.466866
p 518 111 104.001175
p 518 110 106.06836
p 519 109 109.17346
p 520 110 110.4201
p 519 111 107.2497

c 32 47.97959
p 513 128 75.375244
p 514 128 78.11333
p 515 127 80.23804
p 516 126 83.09062
p 517 126 85.23998
p 518 125 87.30265
p 519 124 89.330246
p 520 124 92.17973
p 521 123 93.108086
p 522 123 96.00798
p 523 122 98.04541
p 524 123 99.14861
p 525 122 101.41716
p 526 122 104.16279
p 527 121 106.112915
p 528 120 108.46837
p 529 119 110.427475
p 530 118 113.3601
p 531 117 115.30061
p 532 116 118.15456
p 533 116 120.24973
p 534 115 123.354836

c 33 10.057047
p 517 258 14.097475
p 518 258 14.097475
p 519 258 15.145943
p 520 258 15.145943
p 521 259 16.04622
p 522 260 16.105577
p 523 259 16.105577
p 524 259 16.338926
p 525 260 17.016527
p 526 259 17.112644
p 527 259 17.135826
p 528 258 18.059439
p 529 257 18.059439
p 530 257 19.05684
p 531 257 19.05913
p 532 256 19.183228
p 533 255 19.478292
p 534 254 20.455849
p 535 253 21.45226
p 536 252 22.031864
p 536 251 22.031864
p 537 251 22.081675
p 538 252 22.081675
p 539 252 23.073997
p 540 251 23.073997
p 540 250 24.106874
p 541 249 24.154522

c 34 54.689888
p 521 161 67.3213
p 521 162 66.05464
p 521 163 64.01151
p 521 164 62.499912
p 521 165 61.399624
p 521 166 59.01471
p 522 167 56.484108
p 523 168 54.206654
p 524 169 52.18961
p 525 170 50.079464
p 526 171 47.495014
p 526 172 46.05205
p 527 172 46.05205
p 528 171 47.031136
p 528 170 48.298298
p 529 169 49.258625
p 529 168 50.136543
p 529 167 52.0133
p 530 166 52.061665
p 531 166 52.369476
p 532 165 54.25065
p 533 164 55.23176
p 534 163 58.259697
p 535 162 60.09514
p 535 161 60.40333
p 536 160 61.075825
p 535 159 62.15922
p 536 158 64.10616
p 537 157 64.3809
p 538 156 65.17085
p 538 155 66.02996
p 539 154 67.26612
p 540 153 68.2296
p 541 153 69.09177
p 542 153 70.35372
p 543 153 71.06342
p 544 152 73.37392
p 545 152 75.07423
p 546 151 75.07423
p 547 150 77.41628
p 548 149 78.45629
p 549 148 80.38568
p 550 147 80.38568
p 551 146 83.25198
p 552 146 84.047745
p 553 145 85.20137
p 554 145 86.49729
p 555 144 87.065094
p 556 143 89.45771
p 556 142 90.076744
p 556 141 90.076744
p 557 140 91.14759
p 557 139 92.10099
p 557 138 93.20745
p 557 137 95.14258
p 558 136 96.049614
p 558 135 97.28121
p 557 134 98.49844
p 556 133 99.29818
p 555 132 101.21841
p 554 131 102.220604
p 554 130 103.12438
p 554 129 104.112434
p 553 128 105.03466
p 553 127 107.18058
p 553 126 109.15355
