//fileLoc: inputData/dem20x20.png
//fluxMulti: 2.0 channelCutOff: 20
# 783

p 449 0 98.162224
p 450 0 95.10992
p 451 0 94.26318
p 452 0 92.104675
p 453 0 90.05209
p 454 0 90.05209
p 455 0 90.13362
p 456 1 90.13362
p 456 2 90.31113

c 26 9.3717785
p 436 156 17.021286
p 437 157 17.021286
p 438 158 17.18066
p 439 157 18.195236
p 440 156 19.125153
p 441 155 19.160393
p 442 155 19.160393
p 443 154 20.074429
p 444 154 20.080463
p 445 154 20.196459
p 446 154 20.196459
p 447 153 21.111168
p 446 152 21.163446
p 447 151 22.351505
p 448 150 22.355513
p 449 149 22.36925
p 448 148 23.176834
p 448 147 23.293482
p 449 146 23.326391
p 450 145 24.031183
p 449 144 24.031183
p 450 144 24.292767
p 451 143 25.036983
p 452 142 25.116648
p 451 141 26.196783
p 452 140 26.393064

c 27 37.847538
p 437 145 20.168137
p 438 144 21.119032
p 439 143 22.019064
p 440 143 22.026558
p 441 142 23.09686
p 442 141 23.369133
p 443 140 24.113201
p 444 139 25.001259
p 445 139 25.114717
p 446 139 25.114717
p 447 138 26.045198
p 448 137 27.024124
p 447 136 27.262783
p 446 135 28.082972
p 445 134 28.082972
p 446 133 29.259956
p 445 132 30.03302
p 446 131 30.093405
p 446 130 31.129446
p 447 129 32.16984
p 447 128 33.257393
p 447 127 33.257393
p 447 126 34.04222
p 446 125 36.08491
p 446 124 37.10479
p 445 123 37.29409
p 446 122 38.10053
p 447 121 38.25976
p 448 120 39.070675
p 449 119 41.252975
p 450 118 43.298843
p 450 117 44.04666
p 450 116 45.2469
p 450 115 46.284317
p 450 114 46.284317
p 449 113 48.190434
p 450 112 49.378063
p 450 111 51.006065
p 449 110 53.074192
p 450 109 55.30609
p 451 108 58.015675

c 28 51.809067
p 438 66 69.34599
p 439 65 71.17565
p 440 64 74.00535
p 441 64 78.015175
p 442 63 80.3823
p 443 62 82.1957
p 444 62 84.32708
p 445 62 87.46954
p 446 61 88.00357
p 447 61 90.27036
p 448 61 92.240524
p 449 61 95.148155
p 450 60 98.08762
p 451 60 99.26481
p 452 59 101.07922
p 453 59 104.0921
p 454 58 106.21302
p 455 58 106.41916
p 456 58 108.104614
p 457 57 111.16116
p 458 57 113.040955
p 459 57 115.0275
p 460 56 117.46596
p 461 55 119.48176
p 462 56 121.15506

c 29 57.109184
p 454 160 19.135263
p 455 159 20.025127
p 456 158 20.159863
p 456 157 21.181753
p 456 156 21.181753
p 457 155 21.449348
p 456 154 22.222218
p 456 153 23.295826
p 457 152 24.11657
p 458 151 24.384336
p 459 150 26.257078
p 460 149 26.257078
p 460 148 27.406794
p 461 147 28.02257
p 461 146 29.26579
p 461 145 30.1667
p 462 144 31.026134
p 463 143 31.305965
p 464 144 31.305965
p 465 143 32.058083
p 466 144 33.40746
p 467 144 34.085976
p 468 143 35.316544
p 469 143 36.4396
p 470 142 37.449467
p 471 141 38.071472
p 471 140 38.072353
p 471 139 39.07058
p 472 138 41.137283
p 473 137 42.04016
p 474 137 42.079464
p 475 136 44.0105
p 476 135 45.448013
p 477 134 46.033653
p 478 134 47.211266
p 479 134 48.388878
p 480 134 49.169125
p 481 134 51.437263
p 482 133 51.47341
p 483 132 52.296844
p 484 132 53.0746
p 485 131 54.424473
p 486 130 57.10644
p 487 129 58.17228
p 488 129 59.11049
p 489 130 59.35704
p 490 130 61.352463
p 491 130 63.23425
p 492 130 65.40853
p 493 129 67.20734
p 494 128 69.376305
p 495 128 71.31134
p 496 128 73.18544
p 497 127 76.244446

c 30 11.868401
p 457 211 8.136623
p 458 210 9.100373
p 459 209 9.146881
p 460 209 9.146881
p 461 208 9.370447
p 462 207 10.102039
p 463 206 10.105487
p 463 205 11.140188
p 464 204 11.145221
p 465 203 11.3849
p 466 202 12.033561
p 466 201 12.09699
p 465 200 12.13856
p 466 199 12.158212
p 465 198 13.268687
p 466 197 13.268687
p 466 196 14.014362
p 465 195 14.082724
p 465 194 14.091396
p 466 193 14.091396
p 465 192 15.240203
p 465 191 16.073666
p 465 190 16.073666
p 465 189 16.324257
p 466 188 17.089746
p 466 187 17.400316
p 467 186 18.118332
p 467 185 18.118332
p 467 184 18.487041
p 468 183 19.094292
p 468 182 19.106474
p 468 181 20.005024

c 31 24.843597
p 458 3 91.02968
p 459 2 90.0101
p 460 2 89.43689
p 461 3 89.02534
p 462 4 88.141045
p 463 5 88.043045
p 464 5 86.46199
p 465 6 86.284294
p 466 7 86.284294
p 467 8 86.284294
p 468 9 87.21459
p 469 10 88.0403
p 468 11 92.28433
p 467 12 97.033554
p 466 13 100.22443
p 466 14 102.38111
p 465 15 105.2755
p 464 16 107.165
p 464 17 109.23398
p 463 18 109.23398
p 462 19 111.12789

c 32 49.231457
p 460 77 99.304276
p 460 78 97.10336
p 461 79 95.122505
p 462 80 92.13903
p 463 81 90.164085
p 464 82 88.23417
p 465 83 85.188995
p 465 84 83.0509
p 465 85 80.1218
p 465 86 78.04698
p 465 87 75.39392
p 466 88 73.40898
p 467 89 72.080315
p 467 90 69.20814
p 467 91 67.24671
p 468 92 65.37186
p 469 93 62.196342
p 469 94 60.00214
p 468 95 58.489956
p 467 96 58.432365
p 466 97 58.432365
p 467 98 57.2695
p 467 99 56.14531
p 466 100 54.27695
p 466 101 53.295837
p 465 102 52.281918
p 465 103 52.184864
p 464 104 51.209236
p 463 104 51.2079
p 463 105 51.2079
p 464 106 50.07282

c 33 67.05031
p 460 131 33.002567
p 461 130 33.20183
p 462 129 33.420124
p 463 128 34.162674
p 464 128 34.476067
p 465 127 35.48167
p 466 126 36.147472
p 466 125 37.167324
p 467 124 37.263836
p 467 123 38.157055
p 468 122 38.157055
p 468 121 38.17932
p 469 120 39.48275
p 470 119 39.48275
p 471 118 40.4093
p 472 117 41.06612
p 473 116 43.235977
p 474 115 44.214417
p 475 115 46.041878
p 476 114 47.265774
p 477 114 49.110664
p 478 113 50.450386
p 479 112 51.180885
p 480 112 54.177517
p 481 112 56.03262
p 482 111 56.130894
p 483 110 58.148643
p 484 109 61.34083
p 485 108 63.03872
p 485 107 64.47976
p 485 106 66.14305
p 486 105 67.312645
p 487 104 68.16412
p 488 103 70.01381
p 489 102 72.04076
p 490 102 74.12502
p 491 102 76.28585
